id,name,city,city2,country,description,imageCredit,imageCreditLink,state,stateShort,nameEnglish,name2,city3,code
LIL,Aéroport de Lille,Lille,,France,"Also known as Lesquin Airport, Lille Airport gets its three-letter code from the city of *Lil*le.",Olivier Cleynen,https://commons.wikimedia.org/wiki/File:LIL_airport_main_terminal_(1).jpg,,,,,,
MBA,Moi International Airport,Mombasa,,Kenya,"Named after Kenyan President Daniel arap Moi, Moi International serves the city of *M*om*b*as*a*.",Hansbaer,https://commons.wikimedia.org/wiki/File:Moi_International_Airport.jpg,,,,,,
VNY,Van Nuys Airport,Los Angeles,,USA,"Van Nuys Airport serves Los Angeles, located in the *V*an *N*u*y*s neighborhood of the San Fernando Valley.",Thomas Hawk,https://www.flickr.com/photos/thomashawk/,California,CA,,,,
YYT,St. John’s International Airport,St. John’s,,Canada,"With a few exceptions, airport codes starting with ‘*Y*’ designate Canadian airports. The second ‘*Y*’ is a filler letter and the ‘T’ comes from its former name, *T*orbay Airport. This helps differentiate it from the other Saint John Airport (YSJ).",Patrick Handrigan,http://commons.wikimedia.org/wiki/File:St._John%27s_Airport_Terminal.JPG,Newfoundland and Labrador,NL,,,,
YYZ,Pearson International Airport,Toronto,Malton,Canada,"Most airport codes starting with ‘*Y*’ designate Canadian airports. The ‘*YZ*’ is said to be the old railway station code for Malton, an area west of Toronto where the airport is located. You may know YYZ from the song by Canadian rock band Rush.",Coralie Mercier,https://www.flickr.com/photos/koalie/,Ontario,ON,,,,
YZF,Yellowknife Airport,Yellowknife,,Canada,"With a few exceptions, airport codes starting with ‘*Y*’ designate Canadian airports. Yellowknife Airport has one of the mysterious codes in which the other two letters were randomly assigned.",Hideyuki KAMON,https://www.flickr.com/photos/hyougushi/,Northwest Territories,NT,,,,
ZAD,Zračna luka Zadar/Zemunik,Zadar,,Croatia,"Zadar Airport formerly served as a Lufthansa flight school but now serves the city of *Zad*ar, Croatia.",(aeropagitica),https://commons.wikimedia.org/wiki/File:Zadar_airport_terminal_croatia.JPG,,,,,,
ZAG,Međunarodna zračna luka Zagreb,Zagreb,Pleso,Croatia,"Located in the suburb of Pleso and often called Pleso Airport, Croatia’s main international airport gets its code from the capital city of *Zag*reb.",Stefan Walter,https://www.stefanwalter.ch/,,,,,,
ZAZ,Aeropuerto de Zaragoza,Zaragoza,,Spain,Zaragoza Airport is home to the Spanish Air Force 15th Group and serves commercial traffic to the city of *Za*rago*z*a.,Javier Ortega Figueiral,https://www.flickr.com/photos/jortegafigueiral/,,,,,,
ZCL,Aeropuerto Internacional General Leobardo C. Ruiz,Zacatecas,Fresnillo,Mexico,"The city of *Z*a*C*atecas is serviced by General *L*eobardo C. Ruiz International, hence the airport code ZCL.",Alemangui,https://commons.wikimedia.org/wiki/File:Aeropuerto_zac.JPG,,,General Leobardo C. Ruiz,,,zcl
ZIA,Zhukovsky International Airport,Moscow,,Russia,"Established in 1941 for aircraft testing, *Z*hukovsky *I*nternational *A*irport serves Moscow and surrounding areas.",A. Savin,https://en.wikipedia.org/wiki/File:MosObl_ZIA_Airport_asv2018-08_img2.jpg,,,,,,
ZIH,Aeropuerto Internacional de Ixtapa-Zihuatanejo,Zihuatanejo,Ixtapa,Mexico,"Built in 1998, Ixtapa-Zihuatanejo International is a gateway for the many tourists of Mexico’s beaches and serves the Ixtapa-*Zih*uatanejo area.",Vmzp85,http://commons.wikimedia.org/wiki/File:ZIH_02.JPG,Guerrero,GR,,,,
